Type               ,Version            ,S/N                ,Region             ,
LT24V160A          ,P3.4               ,PI504429           ,US                 ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    600,     68,OPP    ,      0,      0,    5.0,  2.250,    5.0,      4,      0,     64,    4.0,     25,     60,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   3431,  58813, -55382,   5845,     20,      0,     19,      0,    272,    309,  20323,    170,   2421,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,
    147,                   ,    600,     24,     69,       ,OPP    ,     64,   2.08,   2.43,     30,     69,     22,     19,   0.57,Full ch,       ,03/15/2022 07:57:00,03/15/2022 08:19:00,      0,
    146,                   ,    600,     24,     69,       ,OPP    ,     48,   2.04,   2.35,     78,     69,     22,     29,   0.81,Part ch,       ,03/15/2022 08:49:00,03/15/2022 09:11:00,      0,
    145,                   ,    600,     24,     69,       ,OPP    ,     56,   2.06,   2.39,     78,     69,     22,     28,   0.83,Part ch,       ,03/15/2022 09:36:00,03/15/2022 09:59:00,      0,
    144,                   ,    600,     24,     69,       ,OPP    ,     56,   2.06,   2.42,     78,     69,     25,     33,   0.96,Part ch,       ,03/15/2022 10:17:00,03/15/2022 10:43:00,      0,
    143,                   ,    600,     24,     69,       ,OPP    ,     49,   2.04,   2.43,     63,     69,     43,     56,   1.63,Part ch,       ,03/15/2022 11:09:00,03/15/2022 11:53:00,      0,
    142,                   ,    600,     24,     69,       ,OPP    ,     50,   2.05,   2.43,     30,     69,     87,     95,   2.76,Full ch,       ,03/15/2022 12:06:00,03/15/2022 14:23:00,      0,
    141,                   ,    600,     24,     69,       ,OPP    ,     46,   2.03,   2.44,     40,     69,     67,     77,   2.25,Part ch,       ,03/15/2022 14:35:00,03/15/2022 15:43:00,      0,
    140,                   ,    600,     24,     69,       ,OPP    ,     63,   2.08,   2.43,     38,     69,     25,     24,   0.70,Part ch,       ,03/15/2022 16:30:00,03/15/2022 16:56:00,      0,
    139,                   ,    600,     24,     69,       ,OPP    ,     51,   2.05,   2.43,     30,     69,     83,     91,   2.64,Full ch,       ,03/16/2022 02:03:00,03/16/2022 07:06:00,      0,
    138,                   ,    600,     24,     69,       ,OPP    ,     46,   2.04,   2.37,     79,     69,     24,     31,   0.90,Part ch,       ,03/16/2022 09:42:00,03/16/2022 10:06:00,      0,
    137,                   ,    600,     24,     69,       ,OPP    ,     57,   2.07,   2.43,     38,     69,     46,     51,   1.50,Part ch,       ,03/16/2022 11:19:00,03/16/2022 12:06:00,      0,
    136,                   ,    600,     24,     69,       ,OPP    ,     51,   2.05,   2.43,     30,     69,     51,     48,   1.42,Full ch,       ,03/16/2022 14:30:00,03/16/2022 15:34:00,      0,
    135,                   ,    600,     24,     69,       ,OPP    ,     59,   2.07,   2.43,     30,     69,     24,     20,   0.59,Full ch,       ,03/16/2022 16:26:00,03/16/2022 17:00:00,      0,
    134,                   ,    600,     24,     69,       ,OPP    ,     40,   2.02,   2.29,     79,     69,     21,     28,   0.78,Part ch,       ,03/16/2022 17:09:00,03/16/2022 17:31:00,      0,
    133,                   ,    600,     24,     69,       ,OPP    ,     33,   2.01,   2.43,     30,     69,    106,    120,   3.46,Full ch,       ,03/16/2022 23:04:00,03/17/2022 07:08:00,      0,
    132,                   ,    600,     24,     69,       ,OPP    ,     64,   2.08,   2.44,     67,     69,     12,     15,   0.45,Full ch,       ,03/17/2022 08:10:00,03/17/2022 08:22:00,      0,
