Type               ,Version            ,S/N                ,Region             ,
LT24V080A          ,P360               ,PI504325           ,US                 ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    600,     70,OPP    ,      0,      0,    5.0,  2.250,   27.0,      4,      0,     64,    4.0,     25,     60,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
    562,  57354, -56792,   2592,     15,      0,      3,      0,     35,    125,     10,     20,      0,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,
     93,                   ,    600,     24,     33,       ,COLD   ,     50,   2.05,   2.38,     71,     33,     74,     93,   2.72,Part ch,       ,09/22/2020 12:46:00,09/22/2020 14:01:00,      0,
     92,                   ,    600,     24,     33,       ,COLD   ,     27,   2.00,   2.48,     56,     33,    174,    153,   4.61,Full ch,DF7    ,10/04/2020 23:45:00,10/05/2020 08:10:00,    256,
     91,                   ,    600,     24,     33,       ,COLD   ,     13,   1.97,   2.42,     77,     33,     60,     78,   2.23,Part ch,       ,10/13/2020 12:58:00,10/13/2020 14:00:00,      0,
     90,                   ,    600,     24,     33,       ,COLD   ,     41,   2.03,   2.48,     61,     33,    222,    221,   6.64,Full ch,DF7    ,10/13/2020 16:11:00,10/14/2020 07:55:00,    256,
     89,                   ,    600,     24,     33,       ,COLD   ,     50,   2.05,   2.40,     71,     33,     73,     90,   2.62,Part ch,DFC    ,10/14/2020 07:57:00,10/14/2020 09:11:00,      2,
     88,                   ,    600,     24,     33,       ,COLD   ,     50,   2.05,   2.19,     22,     33,    122,     99,   2.77,Full ch,       ,10/19/2020 16:26:00,10/19/2020 21:42:00,      0,
     87,                   ,    600,     24,     33,       ,COLD   ,     99,   2.20,   2.32,     77,     33,     52,     55,   1.55,Part ch,       ,10/19/2020 21:43:00,10/19/2020 22:35:00,      0,
     86,                   ,    600,     24,     33,       ,COLD   ,     40,   2.02,   2.48,     59,     33,    128,    125,   3.77,Full ch,DF7    ,10/19/2020 22:37:00,10/20/2020 07:54:00,    256,
     85,                   ,    600,     24,     33,       ,COLD   ,     50,   2.04,   2.37,     72,     33,     89,    110,   3.19,Part ch,       ,10/20/2020 13:45:00,10/20/2020 15:15:00,      0,
     84,                   ,    600,     24,     33,       ,COLD   ,      5,   1.96,   2.48,     69,     33,    251,    289,   8.51,Full ch,DF7    ,10/20/2020 15:35:00,10/21/2020 09:34:00,   4352,
     83,                   ,    600,     24,     33,       ,COLD   ,     33,   2.01,   2.34,     72,     33,    121,    153,   4.34,Part ch,       ,10/21/2020 12:14:00,10/21/2020 14:16:00,      0,
     82,                   ,    600,     24,     33,       ,COLD   ,      7,   1.96,   2.31,     72,     33,     46,     58,   1.64,Part ch,DF4    ,10/21/2020 15:29:00,10/21/2020 16:16:00,   4096,
     81,                   ,    600,     24,     33,       ,COLD   ,     40,   2.02,   2.37,     72,     33,    164,    200,   5.79,Full ch,       ,10/22/2020 08:24:00,10/22/2020 12:10:00,    512,
     80,                   ,    600,     24,     33,       ,COLD   ,      5,   1.95,   2.48,     67,     33,    310,    345,  10.20,Full ch,DF7    ,10/22/2020 15:18:00,10/22/2020 20:58:00,   4352,
     79,                   ,    600,     24,     33,       ,COLD   ,     52,   2.06,   2.48,     72,     33,    135,    148,   4.47,Full ch,DF7    ,10/22/2020 21:07:00,10/23/2020 07:50:00,    256,
     78,                   ,    600,     24,     33,       ,COLD   ,     40,   2.02,   2.48,     54,     33,    160,    138,   4.16,Full ch,DF7    ,10/25/2020 14:47:00,10/25/2020 17:32:00,    256,
     77,                   ,    600,     24,     33,       ,EQUAL  ,     99,   2.14,   2.28,     15,     33,    479,    167,   4.71,Full ch,       ,10/25/2020 17:32:00,10/26/2020 14:29:00,      0,
     76,                   ,    600,     24,     33,       ,COLD   ,     16,   1.98,   2.37,     77,     33,      6,      7,   0.22,Part ch,       ,10/27/2020 07:40:00,10/27/2020 07:47:00,      0,
     75,                   ,    600,     24,     33,       ,COLD   ,     12,   1.97,   2.32,     77,     33,     60,     78,   2.20,Part ch,       ,10/27/2020 09:07:00,10/27/2020 10:08:00,      0,
     74,                   ,    600,     24,     33,       ,COLD   ,     30,   2.01,   2.32,     77,     33,     73,     94,   2.64,Part ch,       ,10/28/2020 09:11:00,10/28/2020 10:24:00,      0,
     73,                   ,    600,     24,     33,       ,COLD   ,     25,   2.00,   2.39,     66,     33,    204,    238,   6.78,Part ch,DFC    ,10/28/2020 15:14:00,10/28/2020 18:39:00,      2,
     72,                   ,    600,     24,     33,       ,COLD   ,     54,   2.06,   2.41,     72,     33,     74,     92,   2.72,Full ch,       ,10/28/2020 18:46:00,10/29/2020 01:05:00,    512,
     71,                   ,    600,     24,     33,       ,COLD   ,     99,   2.18,   2.48,     76,     33,    124,    146,   4.21,Part ch,       ,10/29/2020 08:27:00,10/29/2020 10:31:00,      0,
     70,                   ,    600,     24,     33,       ,COLD   ,      5,   1.93,   2.14,     30,     33,      9,      4,   0.12,Part ch,DF4    ,10/29/2020 17:26:00,10/29/2020 17:36:00,   4096,
     69,                   ,    600,     24,     33,       ,COLD   ,     22,   1.99,   2.34,     72,     33,     72,     89,   2.53,Part ch,       ,10/30/2020 09:50:00,10/30/2020 11:02:00,      0,
